,Year,Month,average_Price,year-Month
0,2016,01,121.56840932493796,2016-01
1,2016,02,124.29392670585507,2016-02
2,2016,03,128.64448759798898,2016-03
3,2016,04,135.09700540526322,2016-04
4,2016,05,139.5381825911893,2016-05
5,2016,06,147.47313707213505,2016-06
6,2016,07,152.09414998248496,2016-07
7,2016,08,150.65659423422008,2016-08
8,2016,09,143.25594852807913,2016-09
9,2016,10,137.03193915427352,2016-10
10,2016,11,135.6887380777696,2016-11
11,2016,12,137.2518349203432,2016-12
12,2017,01,136.8825903825904,2017-01
